nom_departement;nom_region;Salaire_n_mensuel;nombre_d_habitants;densite_de_population_au_km2;variation_de_la_population_sur_10_ans_en;dont_contribution_du_solde_naturel_en;dont_contribution_du_solde_migratoire_en;population_de_moins_de_20_ans;population_de_60_ans_et_plus;taux_de_chomage_au_t4_en;taux_de_pauvrete_en;nombre_de_logements;nombre_de_residences_principales;taux_de_logements_sociaux_en;parc_social_nombre_de_logements;parc_social_loyer_moyen_en_eur_m2_mois;parc_social_age_moyen_du_parc_en_annees;parc_social_taux_de_logements_energivores_e_f_g_en
Nievre;Bourgogne-France-Comte;2028;204067;29;-7.0;-4.0;-2.0;19;37;7.0;15.0;141593;101316;13.0;13673;5.1;44;31
Nord;Hauts-de-France;2296;2597774;452;1.0;5.0;-3.0;26;22;11.0;19.0;1205062;1096766;24.0;268042;5.6;40;26
Oise;Hauts-de-France;2428;825198;140;3.0;5.0;-2.0;26;22;8.0;13.0;369320;333943;19.0;66189;5.5;38;30
Orne;Normandie;2003;281852;46;-3.0;-1.0;-2.0;22;32;8.0;16.0;164640;129065;16.0;21134;4.8;42;39
Paris;Ile-de-France;3921;2157184;20544;-2.0;7.0;-9.0;19;22;6.0;16.0;1374377;1140127;20.0;228489;8.1;55;15
Pas-de-Calais;Hauts-de-France;2096;1467068;219;0.0;2.0;-2.0;25;24;10.0;20.0;708207;610194;26.0;160370;5.6;49;23
Puy-de-Dome;Auvergne-Rhone-Alpes;2286;654799;82;4.0;0.0;3.0;22;28;7.0;12.0;382695;303705;13.0;41110;5.3;38;18
Pyrenees-Atlantiques;Nouvelle-Aquitaine;2271;678031;88;4.0;0.0;5.0;21;30;7.0;12.0;400053;312779;11.0;34821;5.6;33;4
Pyrenees-Orientales;Occitanie;2016;479754;116;8.0;-1.0;9.0;22;32;14.0;20.0;346847;219896;10.0;22824;5.4;31;1
Rhone;Auvergne-Rhone-Alpes;2608;1867275;574;10.0;8.0;2.0;25;21;7.0;13.0;904462;810134;20.0;169956;6.1;40;20
Saone-et-Loire;Bourgogne-France-Comte;2136;551663;64;0.0;-1.0;0.0;21;32;7.0;13.0;309191;254694;16.0;43091;5.2;45;21
Sarthe;Pays de la Loire;2154;563909;90;0.0;2.0;-1.0;24;28;8.0;13.0;289447;249893;15.0;38660;5.1;38;23
Savoie;Auvergne-Rhone-Alpes;2348;431863;71;5.0;3.0;2.0;23;26;6.0;10.0;341648;193918;17.0;33889;5.8;36;40
Seine-et-Marne;Ile-de-France;2528;1414273;239;8.0;8.0;0.0;27;19;7.0;11.0;604627;546481;18.0;100659;6.3;36;27
Seine-Maritime;Normandie;2310;1251613;199;0.0;3.0;-2.0;24;25;9.0;14.0;634421;559516;25.0;142099;5.4;40;28
Seine-Saint-Denis;Ile-de-France;2220;1638931;6944;8.0;13.0;-4.0;29;16;11.0;28.0;662466;617926;36.0;223916;6.7;41;20
Somme;Hauts-de-France;2144;570942;92;0.0;1.0;-1.0;24;25;10.0;17.0;297094;248358;16.0;40441;5.5;39;30
Tarn;Occitanie;2130;387626;67;4.0;0.0;4.0;22;31;9.0;15.0;209380;174530;8.0;15450;4.9;43;29
Tarn-et-Garonne;Occitanie;2108;260118;69;10.0;1.0;8.0;24;28;10.0;17.0;130059;109760;7.0;8361;5.4;30;22
Territoire de Belfort;Bourgogne-France-Comte;2391;143494;235;1.0;3.0;-2.0;24;25;9.0;15.0;71929;64712;22.0;14517;5.1;42;27
Val-de-Marne;Ile-de-France;2791;1390059;5673;6.0;9.0;-3.0;25;20;7.0;16.0;626297;581138;29.0;172904;6.8;42;16
Val-d'Oise;Ile-de-France;2544;1236913;992;6.0;10.0;-4.0;28;18;8.0;17.0;497749;463406;26.0;121564;6.5;39;19
Var;Provence-Aples-Cote d'Azur;2215;1069646;179;6.0;0.0;6.0;20;32;9.0;15.0;707520;481723;10.0;48564;5.7;33;7
Vaucluse;Provence-Aples-Cote d'Azur;2176;562326;157;4.0;3.0;0.0;23;28;11.0;20.0;298637;245731;13.0;33988;5.6;39;20
Vendee;Pays de la Loire;2047;676527;100;9.0;1.0;8.0;23;30;6.0;10.0;417192;293737;7.0;22955;5.0;30;11
Vienne;Nouvelle-Aquitaine;2105;437355;62;3.0;1.0;1.0;23;28;7.0;13.0;237993;201366;12.0;25516;5.3;38;21
Vosges;Grand Est;2074;363989;61;-4.0;0.0;-3.0;21;31;9.0;16.0;212925;168523;14.0;24359;4.6;42;36
Yonne;Bourgogne-France-Comte;2103;338011;45;-1.0;0.0;0.0;22;31;7.0;14.0;195822;152388;13.0;20690;5.2;39;30
Yvelines;Ile-de-France;3403;1435258;628;2.0;7.0;-5.0;26;21;6.0;9.0;629383;575089;20.0;120309;6.6;39;30
