nom_departement;Localisation;NB_habitant;Densite_pop_km²;Variation_pop_sur_10_ans_%;Contribution_solde_naturel_%;Contribution_solde_migratoire_%;Pop_moins_20_ans;Population_60_ans_et_plus;Taux_de_chomage_t4_%;Taux_de_pauvrete_%;NB_logements;NB_residences_principales;Parc_social_NB_logements;Parc_social_loyer_moyen_km²_mensuel;Parc_social_age_moyen;Parc_social_taux_de_logements_energivores_%
Territoire de Belfort;Nord;139866;229;-2,131;2,597;-4,727;23;27;8,6;14,5;72929;64708;14261;5,142;43;24
Val-de-Marne;Nord;1411786;5762;6,331;9,419;-3,088;25;20;7,8;16,6;640016;592118;177902;6,782;41;15
Val-d'Oise;Nord;1253568;1006;7,036;10,616;-3,58;28;19;8,9;17,2;510302;473372;125774;6,384;39;17
Var;Sud;1079043;180;7,028;-0,425;7,454;20;33;8,2;15,6;722127;494739;52056;5,719;32;6
Vaucluse;Sud;560425;157;3,189;2,838;0,351;23;29;10,1;20;305436;249368;35347;5,728;38;17
Vendée;Nord;687477;102;8,302;0,184;8,118;22;32;6,2;9,2;426425;301490;23964;5,105;30;13
Vienne;Sud;438390;62;2,621;0,774;1,847;23;28;6,3;14,3;241950;204488;25600;5,314;39;21
Vosges;Nord;361749;61;-4,734;-1,625;-3,109;21;32;8,2;15,4;214363;169386;24305;4,745;43;30
Yonne;Nord;334626;45;-2,302;-1,571;-0,731;22;32;6,9;14,5;197683;153251;20815;5,217;39;25
Yvelines;Nord;1449520;634;2,893;7,452;-4,559;26;22;6,7;9,7;643946;586449;127062;6,46;38;26
